"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"263",2018-09-10,88437,13.2,26.9,0,5.8,3.75,0,0,0,0,0
"264",2018-06-29,93088,14.2,30.8,0,3,14.017,0,0,0,0,0
"265",2018-06-11,100395,16.5,25,0,4.6,8.5,0,0,0,0,0
"266",2018-08-09,80407,21.4,34.7,1.6,2.4,11.8,0,0,0,0,0
"267",2018-06-12,106062,14,22.2,0,5.2,8,0,0,0,0,0
"268",2018-06-16,64845,17.1,27.4,0,6.7,4.35,0,0,1,0,0
"269",2018-02-18,18899,1.2,3.8,0,7.8,0,0,0,0,1,0
"270",2018-07-09,86778,15.9,24.1,0,5.6,8.333,0,0,0,0,0
"271",2018-06-10,49378,17,30,5,5.1,7,0,0,0,1,0
"272",2018-05-21,59152,9.7,24.1,0,1.4,14.167,0,0,0,1,0
"273",2018-09-04,100767,15.5,26.4,0,3.1,9.867,0,0,0,0,0
"274",2018-08-17,85943,17.8,33.4,0,4.2,12.467,0,0,0,0,0
"275",2018-10-10,82482,7.4,23.7,0,3,9.633,0,0,0,0,0
"276",2018-11-03,38629,4.9,11.4,0,5.3,1.383,0,0,1,0,0
"277",2018-01-25,43446,7.5,10.4,10.2,7.7,0,0,0,0,0,0
"278",2018-03-22,29218,0.5,4.3,3.3,8,0,0,0,0,0,0
"279",2018-08-10,75216,17.3,24.8,0,4,6.3,0,0,0,0,0
"280",2018-07-22,51237,16.9,28.2,0,6.2,4.25,0,0,0,1,0
"281",2018-04-14,37643,9.3,17.7,5,6.5,3.25,0,0,1,0,0
"282",2018-01-03,22537,2.1,7.7,17.9,7.3,1.267,0,0,0,0,0
"283",2018-06-28,95517,14.8,28.9,0,4.8,9.833,0,0,0,0,0
"284",2018-05-27,58953,13.7,28.2,0,3.6,9.517,0,0,0,1,0
"285",2018-10-04,70622,8.4,15.6,0,6,0.733,0,0,0,0,0
"286",2018-12-01,25030,0.7,7,0,6.4,0.6,0,0,1,0,0
"287",2018-09-17,91526,10.1,27.9,0,4.9,10.2,0,0,0,0,0
"288",2018-07-24,88376,16.6,29.9,0,1.6,12.233,0,0,0,0,0
"289",2018-11-29,49830,-1.5,3.3,0,6.4,3.033,0,0,0,0,0
"290",2018-06-30,59546,11.5,22.4,0,2.3,10.983,0,0,1,0,0
"291",2018-05-13,64146,14.3,26.5,0,0.7,14.083,0,0,0,1,0
"292",2018-04-16,58514,10.2,16.3,2.2,7.4,0.083,0,0,0,0,0
"293",2018-06-21,85667,11.3,27.8,2.6,4.3,7.917,0,0,0,0,0
"294",2018-12-15,23999,-0.5,0.8,0,7.9,0,0,0,1,0,0
"295",2018-12-23,9665,3.7,7.8,1.9,7.8,0,0,0,0,1,0
"296",2018-01-23,42081,-0.1,6,1,7.6,0,0,0,0,0,0
"297",2018-06-06,108979,12.3,24.5,0,1.6,15.7,0,0,0,0,0
"298",2018-11-17,33082,-2.5,5,0,1.3,7.117,0,0,1,0,0
"299",2018-09-11,94580,17.1,27,0,6.1,7.633,0,0,0,0,0
"300",2018-06-13,94731,14.5,18.1,0,7.7,0.55,0,0,0,0,0
"301",2018-10-30,65325,6.5,21.3,1.7,5.6,5.917,0,0,0,0,0
"302",2018-04-29,63931,11.6,24.3,0,3.2,10.183,0,0,0,1,0
"303",2018-04-09,84972,6.3,22.2,0,1.9,10.717,0,0,0,0,0
"304",2018-10-08,74814,2.4,15.2,0,5,10.067,0,0,0,0,0
"305",2018-12-03,43553,8.5,14,1.7,5.8,1.483,0,0,0,0,0
"306",2018-05-30,102369,18.1,32.4,6,3.3,9.9,0,0,0,0,0
"307",2018-12-02,16424,3.5,10.4,1.8,7.3,0,0,0,0,1,0
"308",2018-06-18,95282,14.9,24.7,0,5.5,4.617,0,0,0,0,0
"309",2018-11-16,61710,1.7,9,0,2.3,7.433,0,0,0,0,0
"310",2018-07-30,77876,21.4,33.4,0,3,10.833,0,0,0,0,0
"311",2018-11-12,67309,8,14.6,0.7,5.9,1.183,0,0,0,0,0
"312",2018-01-18,28063,0.6,5.8,7.3,7.5,0,0,0,0,0,0
"313",2018-02-13,40435,-2.8,5.5,0,2.1,6.233,0,0,0,0,0
"314",2018-11-14,68688,5.5,11.5,0,5,5.083,0,0,0,0,0
"315",2018-01-29,39864,5.3,11.2,3.4,7.7,0,0,0,0,0,0
"316",2018-04-01,7722,0.9,2.6,2.5,7.8,0,0,0,0,1,0
"317",2018-09-05,96348,14.3,25.3,0,3.6,6.467,0,0,0,0,0
"318",2018-02-01,48751,1.6,6.8,0,4.6,4.983,0,0,0,0,0
"319",2018-08-11,54266,15.3,24,0,3.9,6.55,0,0,1,0,0
"320",2018-02-20,46246,-2.3,3.8,0,3.4,8.25,0,0,0,0,0
"321",2018-09-03,93588,17.8,28.8,0,3.8,9.95,0,0,0,0,0
"322",2018-11-08,74120,4.8,14.6,0.8,5.4,2.25,0,0,0,0,0
"323",2018-08-16,93707,14.1,29.7,0,1.1,13.283,0,0,0,0,0
"324",2018-05-05,65891,4.1,18.8,0,1.8,13.933,0,0,1,0,0
"325",2018-11-28,54034,-1.9,3.6,0,2.8,6.9,0,0,0,0,0
"326",2018-03-30,27377,-0.4,11.6,0,5.5,9.017,0,0,0,1,0
"327",2018-10-02,59215,5,11.1,2.2,6.1,2.167,0,0,0,0,0
