"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"595",2020-04-25,37019,12.5,19.4,0,1,0,1,0,0
"596",2020-09-04,49319,14,25.9,0,0,0,0,0,1
"597",2020-03-20,29703,9.3,19.7,0,1,0,0,0,0
"598",2020-02-13,18917,3.6,9.2,0,0,0,0,0,0
"599",2020-06-24,54487,16.5,21.8,0,0,0,0,0,1
"600",2020-09-07,39115,15,19.6,4.8,0,0,0,0,1
"601",2020-01-12,9614,0.9,5.4,0,0,0,0,1,0
"602",2020-11-28,11367,1.4,3.6,0,0,1,1,0,0
"603",2020-06-01,45748,11.7,22.5,1.4,0,0,0,1,1
"604",2020-12-01,18414,-0.9,1.8,0,0,1,0,0,0
"605",2020-03-29,20607,4.9,15.2,0,1,0,0,1,0
"606",2020-01-08,19140,3.5,7.7,0,0,0,0,0,0
"607",2020-02-23,8558,10.3,16.4,1.8,0,0,0,1,0
"608",2020-06-07,44723,16,25.8,8.8,0,0,0,1,1
"609",2020-05-19,61699,15.5,25.9,0,0,0,0,0,1
"610",2020-01-30,18393,4.3,9.4,0,0,0,0,0,0
"611",2020-01-09,17939,1.8,3.7,0,0,0,0,0,0
"612",2020-07-12,41435,13.8,22.3,0,0,0,0,1,1
"613",2020-11-14,18308,5.6,7.7,0,0,0,1,0,0
"614",2020-05-07,47859,10.7,20.6,0,0,0,0,0,1
"615",2020-02-12,15722,4.2,8.2,0,0,0,0,0,0
"616",2020-10-04,36587,16,21.6,1.3,0,0,0,1,1
"617",2020-02-11,13898,4.2,9.3,0.6,0,0,0,0,0
"618",2020-04-11,37131,11.6,19.6,0,1,0,1,0,0
"619",2020-02-29,10453,1.8,10.2,0.1,0,0,1,0,0
"620",2020-04-27,36490,9.5,20.7,0,1,0,0,0,0
"621",2020-11-17,25846,8.6,13,0,0,1,0,0,0
"622",2020-07-29,50898,21.9,28.2,12.5,0,0,0,0,1
"623",2020-10-19,32746,8,12,0,0,0,0,0,1
"624",2020-04-14,15184,5.7,9.2,1.6,1,0,0,0,0
"625",2020-03-02,24171,6.8,14.8,7.5,0,0,0,0,0
"626",2020-12-16,19761,2.9,3.6,0,0,0,0,0,0
"627",2020-05-11,35698,13.6,23.9,0,0,0,0,0,1
"628",2020-03-10,28922,6.9,12.5,1.4,0,0,0,0,0
"629",2020-02-17,21830,5.6,12,0,0,0,0,0,0
"630",2020-05-29,31054,11.9,16.3,1.9,0,0,0,0,1
"631",2020-02-09,9074,-0.3,6.4,0,0,0,0,1,0
"632",2020-10-10,27888,12.9,18.7,9.2,0,0,1,0,1
"633",2020-09-26,15812,7.3,11.4,17,0,0,1,0,1
"634",2020-09-01,15172,14.2,16.3,37.2,0,0,0,0,1
"635",2020-09-18,48179,12.7,19.1,0,0,0,0,0,1
"636",2020-11-04,25483,11,15.7,4.8,0,0,0,0,0
"637",2020-07-18,12969,14.5,18.2,21,0,0,1,0,1
"638",2020-03-25,8854,-0.5,3.7,0,1,0,0,0,0
"639",2020-11-27,17244,1.1,2.4,0,0,1,0,0,0
"640",2020-01-14,16920,-0.7,0.6,0,0,0,0,0,0
"641",2020-01-27,15944,-0.8,2.8,0,0,0,0,0,0
"642",2020-03-17,15308,5.1,13.5,0,1,0,0,0,0
"643",2020-01-03,7791,-2.3,0.7,0,0,0,0,0,0
"644",2020-11-23,18864,2.5,8.4,0,0,1,0,0,0
"645",2020-03-09,24787,3.4,10.6,0.9,0,0,0,0,0
"646",2020-08-24,46909,19.2,24.8,0,0,0,0,0,1
"647",2020-11-03,17106,14.7,19.7,0.4,0,0,0,0,0
"648",2020-08-10,49773,22.1,31.9,0,0,0,0,0,1
"649",2020-07-24,33971,18.9,25.2,2.2,0,0,0,0,1
"650",2020-02-28,15354,3.2,6.8,0.3,0,0,0,0,0
"651",2020-09-03,53660,14.7,22.3,0,0,0,0,0,1
"652",2020-01-31,16524,2.7,15.6,1.9,0,0,0,0,0
"653",2020-05-02,38030,12.3,18.2,0,0,0,1,0,0
"654",2020-09-27,31248,9,17.9,0,0,0,0,1,1
"655",2020-10-06,51601,10.9,18.9,0,0,0,0,0,1
"656",2020-01-24,14303,-1.3,1.1,0,0,0,0,0,0
"657",2020-08-08,40351,20.2,32.1,0,0,0,1,0,1
"658",2020-05-17,51316,11.7,21.7,0,0,0,0,1,1
"659",2020-07-23,57461,18.7,27.1,0,0,0,0,0,1
"660",2020-09-08,59016,13.7,23,0,0,0,0,0,1
"661",2020-12-07,17066,6.1,8.3,0.4,0,0,0,0,0
"662",2020-06-18,38515,16.9,20.9,17.6,0,0,0,0,1
"663",2020-07-16,33932,16.6,20.8,7.5,0,0,0,0,1
"664",2020-03-14,18123,4.8,9.6,0,0,0,1,0,0
"665",2020-12-25,4247,3.2,8.8,1.5,0,0,0,1,0
"666",2020-08-18,38782,20,23.1,7.1,0,0,0,0,1
"667",2020-12-08,12671,4.7,6,0.1,0,0,0,1,0
"668",2020-12-02,16734,-1.3,0.7,0,0,1,0,0,0
"669",2020-04-29,23130,13.2,18,1.1,1,0,0,0,0
